id,title,body,role,standard_answer,scoring
py-031,Python算法-异常处理与鲁棒性,"如何提升模型/系统的鲁棒性以应对异常输入？",Python算法,"应包括输入校验、异常检测、模型置信度与降级策略。","策略完整性35分；实现细节30分；测试与监控20分；实践15分"
py-032,Python算法-离线特征仓库设计,"如何设计高效的离线特征仓库以支撑训练与线上一致性？",Python算法,"应包含特征版本、时间旅行、计算调度与一致性保障。","仓库设计35分；计算调度30分；一致性与验证20分；实践15分"
py-033,Python算法-模型召回过滤流水线,"召回->过滤->排序流水线中如何保证效率与覆盖率？",Python算法,"应讨论多路召回融合、去重、阈值过滤与在线排序效率。","流水线设计35分；效率与覆盖30分；实现细节20分；实践15分"
py-034,Python算法-数据扩充与合成样本,"如何使用数据扩充/生成对提升模型泛化有帮助？",Python算法,"应包含合成样本方法、质量控制、分布一致性与风险评估。","方法理解35分；工程实现30分；数据质量验证20分；实践15分"
py-035,Python算法-图数据表示学习实践,"在大规模图上训练表示时的工程挑战与解决方案。",Python算法,"应包含分布式采样、子图训练、内存管理与指标验证。","工程挑战35分；实现细节30分；效果评估20分；实践15分"
py-036,Python算法-优化器选择与调参,"常用优化器（SGD/Adam等）选择与学习率调度策略。",Python算法,"应包含收敛速度、泛化影响、动量与调度实现。","优化器理解35分；调参策略30分；工程实现20分；实践15分"
py-037,Python算法-模型监控告警设计,"如何设计模型性能监控与告警以及时发现问题？",Python算法,"应涉及预测分布监控、性能指标、数据漂移与告警阈值策略。","监控设计35分；告警策略30分；阈值与响应20分；实践15分"
py-038,Python算法-样本不均衡处理策略,"如何处理样本不均衡问题以提高模型性能？",Python算法,"应讨论采样、代价敏感学习、评价指标与交叉验证策略。","方法全面性35分；实现细节30分；效果验证20分；实践15分"
py-039,Python算法-多任务学习基础,"多任务学习的基本思想与共享表示的优缺点。",Python算法,"应包括任务权重、共享/私有层设计、冲突与调和策略。","方法理解35分；设计权衡30分；实现细节20分；实践15分"
py-040,Python算法-流量异常检测实例,"设计一套实时流量异常检测系统的思路（网络/日志类）。",Python算法,"应包含特征抽取、阈值/模型检测、告警与自动化响应。","系统设计35分；检测方法30分；告警策略20分；实践15分"
py-041,Python算法-增量特征工程实践,"如何安全地在生产中上线增量特征并验证其效果？",Python算法,"应包含回放评估、线上AB、特征稳定性与降噪策略。","实践流程35分；评估方法30分；风险控制20分；实践15分"
py-042,Python算法-序列模型注意力机制,"解释注意力机制(Attention)及其在序列模型中的作用。",Python算法,"应包含点积注意力、掩码、多头注意力与可解释性。","原理理解35分；实现要点30分；应用与调参20分；表达15分"
py-043,Python算法-可微分编程简介,"可微分编程的概念与在工程上的应用场景。",Python算法,"应讨论可微分渲染、控制优化与框架支持。","概念理解35分；应用场景30分；工程挑战20分；表达15分"
py-044,Python算法-模型合并与蒸馏策略,"如何在多模型输出场景进行模型合并或蒸馏提高效率？",Python算法,"应包含集成策略、蒸馏损失设计与部署成本权衡。","策略完整性35分；实现细节30分；效能验证20分；实践15分"
py-045,Python算法-基准测试与性能评估,"如何为算法系统设计可重复的基准测试？",Python算法,"应包含数据合成、环境隔离、指标定义与回归检测。","基准设计35分；环境控制30分；指标与回归20分；实践15分"
py-046,Python算法-快速失败策略设计,"在模型训练/推理异常时如何快速失败并保证系统健壮？",Python算法,"应包含限流、熔断、报警与回退策略。","策略设计35分；实现细节30分；验证与运维20分；实践15分"
py-047,Python算法-特征商店的版本管理,"如何管理特征版本与回滚以保障训练/线上一致性？",Python算法,"应包含特征版本、时间戳、回滚策略与一致性验证。","版本管理35分；实现策略30分；一致性验证20分；实践15分"
py-048,Python算法-低资源模型训练技巧,"在资源受限时如何高效训练与调参？",Python算法,"应讨论混合精度、渐进训练、数据并行与学习率策略。","资源优化35分；训练策略30分；实践与验证20分；表达15分"
py-049,Python算法-向量检索与近邻搜索,"如何搭建高效的向量检索系统（Annoy/FAISS等）？",Python算法,"应包含索引类型选择、量化、召回/精排策略与线上部署要点。","索引选择35分；实现与优化30分；部署与评估20分；实践15分"
py-050,Python算法-模型持续学习平台设计,"设计一个支持持续学习与在线更新的平台应考虑哪些要点？",Python算法,"应包含数据治理、模型版本、回滚、A/B试验与监控。","平台设计35分；模型管理30分；风险与回滚20分；实践15分"
jv-008,Java后端-分布式事务与一致性,"在分布式系统中如何处理跨服务事务？请比较TCC、SAGA与消息最终一致性。",Java后端,"应说明各方案适用场景、补偿机制、幂等与超时处理，以及一致性与可用性的取舍。","原理理解35分；方案对比30分；工程落地20分；风险控制15分"
jv-009,Java后端-缓存一致性与雪崩问题,"缓存穿透、击穿、雪崩分别是什么？如何防护并保证缓存一致性？",Java后端,"应涵盖布隆过滤器、热点Key保护、过期策略、互斥锁/单航班、双写一致性或订阅更新。","概念准确30分；防护策略40分；一致性方案20分；实践经验10分"
jv-010,Java后端-ORM与SQL性能,"使用ORM时如何避免N+1查询和慢SQL？请给出排查与优化思路。",Java后端,"应包含SQL日志/链路追踪、批量查询/预加载、索引优化、查询拆分与缓存策略。","问题定位30分；优化手段40分；取舍说明15分；经验落地15分"
fe-008,Web前端-构建与包体优化,"前端构建产物过大，你会如何定位并优化包体？",Web前端,"应涉及包分析、Tree Shaking、代码分割、按需加载、依赖替换与压缩策略。","定位方法30分；优化策略40分；落地验证20分；风险控制10分"
fe-009,Web前端-微前端架构,"什么时候需要微前端？如何设计主应用与子应用的隔离与通信？",Web前端,"应包含场景判断、路由/样式隔离、共享依赖、通信机制与发布协同。","场景理解30分；架构设计35分；隔离方案20分；协作实践15分"
fe-010,Web前端-可访问性与国际化,"如何在项目中提升可访问性与国际化支持？",Web前端,"应覆盖语义化标签、ARIA、键盘导航、颜色对比度，以及多语言资源管理与格式化。","规范理解30分；工程方案35分；质量验证20分；用户体验15分"
py-008,Python算法-推荐系统召回,"推荐系统的召回阶段如何设计？请说明多路召回与融合策略。",Python算法,"应包含协同过滤/内容召回/热门召回、召回覆盖率、去重与加权融合。","方案完整性35分；算法理解30分；工程落地20分；表达15分"
py-009,Python算法-特征工程与数据处理,"面对脏数据与高维特征，你会如何做特征工程与数据预处理？",Python算法,"应涉及缺失处理、异常检测、编码方式、特征选择与归一化，以及训练/线上一致性。","处理全面性35分；方法论30分；工程实践20分；风险意识15分"
py-010,Python算法-并行与分布式计算,"在Python中如何进行并行或分布式计算以提升训练效率？",Python算法,"应包含多进程/多线程、GIL影响、分布式框架、数据分片与通信开销。","原理理解30分；方案选择30分；工程实践25分；性能分析15分"
